,Name
0,4E TV
1,Abea
2,Achaia Clauss
3,ADMIE
4,Aegean Airlines
5,Aegean Marine Petroleum Network Inc.
6,Aegean Motorway S.A.
7,Aegean Speed Lines
8,Aegek SA
9,Aeolian Investment Fund S.A.
10,Air Mediterranean
11,Alfa-Beta Vassilopoulos
12,Allatini
13,Alpha Bank
14,Alpha Records
15,Alpha TV
16,ALUMIL Aluminium Industry S.A
17,Aluminium of Greece
18,Amjet Executive
19,ANEK Lines
20,ANT1 Group
21,ANT1
22,Arapian
23,Arcadia Shipmanagement
24,Archirodon
25,Atcom
26,Athens Exchange
27,Athens International Airport S.A.
28,Athens-Macedonian News Agency
29,Athens Mass Transit System
30,Athens Metro
31,Atlas Maritime
32,Attica Bank
33,Attica Group
34,Attiki Odos consortium
35,Aventurine SA
36,Avin International
37,Bank of Greece
38,Barbastathis
39,Bazaar
40,Beat
41,Berios
42,Bioman
43,Black Lotus Records
44,Bluebird Airways
45,Blueground
46,Blue Star Ferries
47,Centric Multimedia
48,Ceres Hellenic Shipping Enterprises
49,CERETETH
50,Chalkis Shipyards (Aulida)
51,Chipita
52,Coca-Cola Hellenic Bottling Company
53,Coffee Island
54,Compupress
55,Consolidated Contractors Company
56,Cosmote
57,Costamare
58,DEPA
59,DESFA
60,Diana
61,Digea
62,Digital Union
63,Dodekanisos Seaways
64,DryShips Inc
65,EAS
66,Egnatia Odos S.A.
67,ELCO
68,Epsa
69,Elefsis Shipyards
70,ELFE
71,Ellaktor
72,Ellinair
73,Energean Oil & Gas
74,Open TV
75,Eskimo (Feidakis Group)
76,Estia Newspaper S.A.
77,ETEM
78,Eurobank Ergasias
79,European Reliance
80,European Seaways
81,Euroseas
82,Evga S.A.
83,EYDAP
84,Fage
85,Fast Ferries
86,Flocafé
87,Finos Film
88,Fix Brewery
89,Folli Follie
90,Forthnet
91,Frigoglass
92,GainJet Aviation
93,Galaxias
94,GEK Terna
95,Germanos Group
96,Golden Star Ferries
97,Goody's Burger House
98,Grecotel
99,Greek Internet Exchange
100,Greek Reporter
101,Greek Wine Cellars
102,Green Cola Company
103,Green Cookie Records
104,Haitoglou Bros
105,Halyvourgiki Steel
106,Heaven Music
107,Hellas Sat
108,Hellenic Aerospace Industry
109,Hellenic Broadcasting Corporation
110,Hellenic Civil Aviation Authority
111,Hellenic Duty Free Shops
112,Hellenic Electricity Distribution Network Operator
113,Hellenic Petroleum
114,Hellenic Post
115,Hellenic Railways Organisation
116,Asset Development Fund
117,Hellenic Seaplanes
118,Hellenic Seaways
119,Hellenic Shipyards Co.
120,Hellenic Space Organization
121,Hellenic Sugar Industry
122,Hellenic Vehicle Industry
123,Heracles General Cement
124,Heron S.A.
125,Hondos Center
126,Hotel Grande Bretagne
127,IANOS
128,I Avgi
129,Ideal Bikes
130,IMC Technologies
131,Interbalkan Medical Center
132,InternetQ
133,Intracom
134,Intrakat
135,Intralot
136,Investment Bank of Greece
137,Levante Ferries
138,Izola (Dimitriou Group)
139,Kefalonian Lines
140,IQsoft
141,Jumbo S.A.
142,Karelia Fine Tobaccos
143,Kathimerini Publishing S.A
144,Kioleides
145,Korres
146,Kostoulas
147,Kotsovolos
148,Kyknos
149,LAGIE
150,Lambrakis Press Group
151,Larco
152,Lavipharm
153,Levante Ferries
154,Libra Group
155,Lobby Music
156,Loux
157,Majestic International Cruises
158,Makedonia TV
159,Malamatina
160,Marfin Investment Group
161,MarineTraffic
162,Masoutis
163,Melissa S.A.
164,Metaxa
165,Metka
166,Metro S.A.
167,Mevgal
168,Mikel Coffee Company
169,Minoan Lines
170,Minos Wines
171,Misko
172,Mythos Brewery
173,Minos EMI
174,MLS Innovation S.A.
175,Moreas Motorway S.A.
176,Motomarine
177,Motor Oil Hellas
178,Mytilineos Holdings
179,Naftemporiki
180,Namco
181,Natech
182,National Bank of Greece
183,Navios Maritime Holdings
184,Neorion
185,Mega Channel
186,Nipponia
187,National Hellenic Research Foundation
188,Nick Silver Pickups
189,Ocean Rig
190,Olympia Odos consortium
191,Olympic Air
192,Olympos
193,Olympus Airways
194,OPAP
195,Optima bank
196,Orange2Fly
197,Orient Bikes
198,OTE
199,OTEGlobe
200,Ouzo Plomari
201,Papadopoulos
202,Papastratos
203,Parachute Type foundry
204,PAS Giannina F.C.
205,Peiraiki
206,Petropoulos A.E.B.E.
207,Piraeus Bank
208,Porto Carras
209,Pouliadis Associates Corporation
210,Prapopoulos Bros s.a.
211,Profile Systems and Software
212,Prometheus Gas
213,Psichogios Publications
214,Public Power Corporation
215,Pyramis
216,RAM Europe
217,RCH
218,Research Acad. Computer Tech. Institute
219,Brink's
220,ROAR! Rock of Angels Records
221,Rokas Constructions S.A.
222,Santorini Brewing Company
223,Saracakis
224,Seajets
225,SEKA
226,Sergal
227,Sfakianakis
228,Skai Group
229,Sky Express
230,Sleaszy Rider Records
231,Social Insurance Institute
232,Softex
233,Space Internetworking Center
234,Spinalonga Records
235,St. Catherine's British School
236,Star Channel
237,State Aircraft Factory
238,Superfast Ferries
239,Temax
240,Terkenlis
241,Terna Energy
242,The Spicy Effect
243,Thessaloniki Metro
244,Thessaloniki Waterbus
245,Theon Sensors
246,Titan Cement
247,TrainOSE
248,Tropical
249,Tsantali
250,Variety Cruises
251,Ventouris Ferries
252,Vegas Oil and Gas
253,Vianex S.A.
254,Viohalco
255,Viva Services
256,Vivartia
257,Vodafone Greece
258,Watt+Volt
259,WIND Hellas
260,Zante Ferries
